subjectid,ageGroup,inquisit.build,computer.platform,startdate,starttime,sessionid,elapsedtime,completed,taskOrder,IP12_1,IP12_2,IP12_3,IP13_1,IP13_2,IP13_3,IP14_1,IP14_2,IP14_3,IP15_1,IP15_2,IP15_3,IP16_1,IP16_2,IP16_3,IP12_1_loss,IP12_2_loss,IP12_3_loss,IP13_1_loss,IP13_2_loss,IP13_3_loss,IP14_1_loss,IP14_2_loss,IP14_3_loss,IP15_1_loss,IP15_2_loss,IP15_3_loss,IP16_1_loss,IP16_2_loss,IP16_3_loss,TotalWinAmount,finalN_reward,finalReward_reward,finalN_loss,finalReward_loss,hitrate_N1,CRrate_N1,hitrate_N2,CRrate_N2,hitrate_N3,CRrate_N3,hitrate_N4,CRrate_N4,hitrate_N5,CRrate_N5,hitrate_N6,CRrate_N6,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4,mentaldemand_5,physicaldemand_5,temporaldemand_5,performance_5,effort_5,frustration_5,mentaldemand_6,physicaldemand_6,temporaldemand_6,performance_6,effort_6,frustration_6
29,Young,6400,mac,9/27/21,14:54:25,1,1718394,1,1,1.484375,2.1328125,3.28125,0.890625,1.8984375,2.46875,0.515625,1.4765625,2.03125,not run,not run,not run,not run,not run,not run,-1.796875,-2.6953125,-3.78125,-1.765625,-0.7265625,-3.71875,-1.234375,-2.2265625,-3.59375,not run,not run,not run,not run,not run,not run,5,4,3,4,-3,1,1,1,0.933333333,0.6,0.666666667,0.8,0.933333333,0,0,0,0,3,1,3,21,13,1,4,1,5,18,16,13,10,1,16,12,14,19,21,10,11,19,21,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Young,6400,mac,9/27/21,15:35:07,1,21843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Young,6400,win,9/27/21,14:01:36,1,1459893,1,1,1.921875,2.9765625,3.90625,0.734375,1.8515625,1.46875,0.390625,0.3984375,0.21875,not run,not run,not run,not run,not run,not run,-1.984375,-1.8515625,-3.96875,-0.703125,-0.0234375,-3.15625,-0.015625,-0.0234375,-0.03125,not run,not run,not run,not run,not run,not run,2.75,1,0.75,1,-3,0.8,0.333333333,0.6,1,0.6,0.8,0.2,0.533333333,0,0,0,0,11,3,17,11,11,13,12,2,12,11,11,11,13,2,11,12,13,13,16,2,16,9,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Young,6400,win,9/27/21,12:02:34,1,2362725,1,2,1.984375,2.2265625,3.96875,1.984375,2.9765625,1.96875,1.734375,2.9765625,3.96875,not run,not run,not run,not run,not run,not run,-1.984375,-2.9765625,-3.96875,-1.953125,-2.7421875,-3.96875,-1.984375,-2.9296875,-3.96875,not run,not run,not run,not run,not run,not run,5.125,1,4,4,-3.875,0,0,0,1,0,0.866666667,0.4,0.733333333,0,0,0,0,12,4,14,6,9,4,7,4,14,3,21,2,9,4,8,3,21,3,6,3,7,3,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Young,6400,mac,9/27/21,15:07:19,1,1269291,1,2,1.171875,2.2734375,3.28125,0.015625,0.2109375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-1.640625,-2.6953125,-0.09375,-1.296875,-2.5546875,-1.84375,-0.765625,-0.2578125,-3.59375,not run,not run,not run,not run,not run,not run,5,3,1,3,-1,1,0.666666667,0.8,1,0.8,0.933333333,0.8,0.933333333,0,0,0,0,17,15,19,20,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Young,6400,win,9/27/21,15:19:27,1,11535974,1,2,0.984375,1.4765625,2.96875,0.015625,0.0234375,0.03125,0.015625,0.0234375,0.03125,not run,not run,not run,not run,not run,not run,-1.515625,-0.7265625,-1.96875,-0.015625,-0.3046875,-0.03125,-0.015625,-0.0234375,-0.03125,not run,not run,not run,not run,not run,not run,7,1,4,1,-2,0.8,1,0,0.733333333,0.6,0.866666667,0.6,0.733333333,0,0,0,0,3,1,11,21,11,11,21,11,15,6,21,21,21,11,21,11,21,21,21,11,21,11,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Young,6400,win,9/27/21,14:22:00,1,1797650,1,2,0.046875,0.1640625,0.53125,0.328125,0.3515625,0.90625,0.046875,0.0234375,0.09375,not run,not run,not run,not run,not run,not run,-1.015625,-0.3515625,-0.21875,-0.953125,-2.7890625,-0.96875,-0.015625,-0.0234375,-0.03125,not run,not run,not run,not run,not run,not run,NA,1,NA,1,-0.875,0.8,0.8,1,1,0.6,0.733333333,0.6,0.866666667,0,0,0,0,18,5,15,16,15,15,17,6,17,18,17,16,19,4,18,8,18,18,20,4,20,7,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Young,6399,and,9/27/21,20:27:11,1,1759986,1,2,1.984375,2.9765625,3.96875,1.984375,2.9765625,3.96875,1.984375,2.9765625,3.96875,not run,not run,not run,not run,not run,not run,-1.984375,-2.9765625,-3.96875,-1.984375,-2.4140625,-3.96875,-1.984375,-2.9765625,-3.96875,not run,not run,not run,not run,not run,not run,6,2,3,2,-2,0.4,0.533333333,0.8,0.866666667,1,0.8,0.8,0.866666667,0,0,0,0,21,17,15,15,14,17,17,15,17,16,15,18,17,17,18,18,16,16,18,15,15,16,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Young,6400,mac,9/27/21,15:25:22,1,1681756,1,1,0.984375,1.1484375,1.03125,1.015625,1.0078125,1.03125,0.984375,1.0078125,1.03125,not run,not run,not run,not run,not run,not run,-1.703125,-2.6484375,-3.53125,-0.984375,-2.4609375,-3.59375,-1.390625,-2.8359375,-3.78125,not run,not run,not run,not run,not run,not run,5.1875,2,3,2,-2.8125,0.6,0.466666667,0,0.333333333,0,0.266666667,0.2,0.2,0,0,0,0,12,5,13,8,10,14,15,2,17,3,15,15,18,2,18,2,17,18,20,2,20,2,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Young,6400,win,9/27/21,12:27:30,1,1866841,1,2,1.296875,1.4765625,3.15625,0.953125,1.8984375,1.71875,0.828125,1.3359375,1.96875,not run,not run,not run,not run,not run,not run,-1.484375,-1.8515625,-3.78125,-0.984375,-1.9453125,-3.03125,-0.984375,-1.9921875,-2.90625,not run,not run,not run,not run,not run,not run,4.46875,3,1.96875,4,-2.5,1,1,0.8,0.8,0.4,0.666666667,0.8,0.8,0,0,0,0,3,3,7,21,4,1,10,6,12,14,14,8,15,6,15,4,15,14,12,9,12,15,17,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
